RON_loss | 3次特征筛选后的X_.shape = (325, 12)
RON_loss | 特征筛选后保留的列： ['raw1', 'op15', 'op19', 'op21', 'op63', 'op119', 'op122', 'op165', 'op232', 'op245', 'op289', 'op353']
RON_loss | 在训练集上，r2 = 0.9118576631183719, pearson 相关系数 = 0.964889083616075
RON_loss | 异常样本数 = 60
RON_loss | 删除异常样本前的表现 = 0.21799787995534786
RON_loss | 删除异常样本后的表现 = 0.37271448750481334
RON_loss | 5折交叉验证后，在验证集上的平均r2 = 0.37271448750481334
RON_loss | 每折的r2 = [0.47702037459568414, 0.40994427305681336, 0.2893319188658521, 0.3629406324861928, 0.3243352385195245]
C:\software\Miniconda3\lib\site-packages\sklearn\preprocessing\_data.py:2370: UserWarning: n_quantiles (1000) is greater than the total number of samples (325). n_quantiles is set to n_samples.
  % (self.n_quantiles, n_samples))
S | 2次特征筛选后的X_.shape = (325, 9)
S | 特征筛选后保留的列： ['raw2', 'op21', 'op52', 'op75', 'op125', 'op136', 'op190', 'op198', 'op225']
S | 在训练集上，r2 = 0.8889265749386615, pearson 相关系数 = 0.9482048494524731
S | 5折交叉验证后，在验证集上的平均r2 = 0.44453764041728877
S | 每折的r2 = [0.4165793239297494, 0.4334824742130434, 0.35414705748460906, 0.42667821700147723, 0.5918011294575649]
