,number,value,params_df_max_layers,params_df_min_samples_leaf,params_df_n_trees,state
0,0,0.5107474841192026,44,3,280,COMPLETE
1,1,0.5694709671190804,47,15,166,COMPLETE
2,2,0.5245550063135213,9,5,290,COMPLETE
3,3,0.5444752311955455,36,9,198,COMPLETE
4,4,0.5742586192976221,13,17,158,COMPLETE
5,5,0.5693535335879809,9,15,232,COMPLETE
6,6,0.5265207410184899,15,5,224,COMPLETE
7,7,0.5327187971797007,26,7,174,COMPLETE
8,8,0.5725953060238389,46,15,112,COMPLETE
9,9,0.5197046113975038,6,5,140,COMPLETE
10,10,0.504374033030182,34,1,296,COMPLETE
11,11,0.5040193867789051,35,1,300,COMPLETE
12,12,0.5024283306135278,30,1,262,COMPLETE
13,13,0.5015824857493091,26,1,258,COMPLETE
14,14,0.5565795169469288,22,11,254,COMPLETE
15,15,0.5024332595160542,21,1,256,COMPLETE
16,16,0.5547935531336927,28,11,256,COMPLETE
17,17,0.5109938402840337,30,3,214,COMPLETE
18,18,0.5110615849456085,41,3,270,COMPLETE
19,19,0.5443846004911663,19,9,238,COMPLETE
20,20,0.5288480221895361,39,7,208,COMPLETE
21,21,0.5024332595160541,21,1,256,COMPLETE
22,22,0.5021779198487882,24,1,268,COMPLETE
23,23,0.5105815224945617,30,3,274,COMPLETE
24,24,0.5050966193308402,24,1,192,COMPLETE
25,25,0.5253980189158823,17,5,238,COMPLETE
26,26,0.5129114518447292,31,3,276,COMPLETE
27,27,0.532943485442225,26,7,240,COMPLETE
28,28,0.5861058129517682,32,19,264,COMPLETE
29,29,0.5029439375086049,42,1,284,COMPLETE
30,30,0.511198841762796,50,3,226,COMPLETE
31,31,0.5028273099136835,23,1,252,COMPLETE
32,32,0.5029439375086049,19,1,284,COMPLETE
33,33,0.5109996679890341,26,3,266,COMPLETE
34,34,0.5254372409873268,12,5,244,COMPLETE
35,35,0.5041226277678256,28,1,286,COMPLETE
36,36,0.5114689956229509,20,3,216,COMPLETE
37,37,0.527827760585087,38,5,188,COMPLETE
38,38,0.5665700254703429,17,13,264,COMPLETE
39,39,0.5121362207914387,13,3,250,COMPLETE
40,40,0.5323709362591514,33,7,226,COMPLETE
41,41,0.5024283306135279,22,1,262,COMPLETE
42,42,0.5036069135956573,24,1,276,COMPLETE
43,43,0.5043266313246566,2,1,294,COMPLETE
44,44,0.5252711054061727,16,5,262,COMPLETE
45,45,0.5128535449439897,28,3,244,COMPLETE
46,46,0.5043888284981235,22,1,140,COMPLETE
47,47,0.5029078886889093,26,1,292,COMPLETE
48,48,0.510728449697655,36,3,230,COMPLETE
49,49,0.5249513196108022,24,5,256,COMPLETE
50,50,0.546840836557306,10,9,100,COMPLETE
51,51,0.5030203364490483,21,1,274,COMPLETE
52,52,0.5027733145768902,18,1,260,COMPLETE
53,53,0.5128182265503429,28,3,248,COMPLETE
54,54,0.5026481520850411,21,1,234,COMPLETE
55,55,0.5114915912422591,14,3,272,COMPLETE
56,56,0.5015824857493091,29,1,258,COMPLETE
57,57,0.5040770353001728,30,1,282,COMPLETE
58,58,0.5677613637309238,29,13,268,COMPLETE
59,59,0.5120876150834573,33,3,218,COMPLETE
60,60,0.5015824857493091,25,1,258,COMPLETE
61,61,0.5015824857493091,25,1,258,COMPLETE
62,62,0.5034047552351938,26,1,246,COMPLETE
63,63,0.5040193867789052,25,1,300,COMPLETE
64,64,0.5118285217268084,23,3,258,COMPLETE
65,65,0.5048778967916577,27,1,278,COMPLETE
66,66,0.5104183701677417,30,3,268,COMPLETE
67,67,0.5797474550859661,35,17,288,COMPLETE
68,68,0.5040499777161132,31,1,238,COMPLETE
69,69,0.5207630243875682,25,5,252,COMPLETE
70,70,0.502586186867675,23,1,156,COMPLETE
71,71,0.5027733145768902,20,1,260,COMPLETE
72,72,0.5111494754201141,22,3,254,COMPLETE
73,73,0.5024829963661478,25,1,270,COMPLETE
74,74,0.5043465434838871,19,1,240,COMPLETE
75,75,0.5119282078658954,27,3,278,COMPLETE
76,76,0.5020075936246456,29,1,264,COMPLETE
77,77,0.5108682256346497,32,3,264,COMPLETE
78,78,0.5040503432779594,28,1,250,COMPLETE
79,79,0.5036991114710622,29,1,232,COMPLETE
80,80,0.5119730111700977,32,3,242,COMPLETE
81,81,0.5024332595160542,24,1,256,COMPLETE
82,82,0.5020075936246458,27,1,264,COMPLETE
83,83,0.5020075936246458,27,1,264,COMPLETE
84,84,0.5118961343826306,29,3,282,COMPLETE
85,85,0.5029781605573778,27,1,272,COMPLETE
86,86,0.5043475305939025,31,1,266,COMPLETE
87,87,0.503311234313357,37,1,248,COMPLETE
88,88,0.5553539609770215,26,11,260,COMPLETE
89,89,0.5048778967916577,29,1,278,COMPLETE
90,90,0.5114915912422591,27,3,272,COMPLETE
91,91,0.5020075936246456,22,1,264,COMPLETE
92,92,0.5041254042570004,24,1,266,COMPLETE
93,93,0.5047237235508675,25,1,200,COMPLETE
94,94,0.5026220231124772,34,1,254,COMPLETE
95,95,0.5108682256346497,28,3,264,COMPLETE
96,96,0.5041604674297065,23,1,288,COMPLETE
97,97,0.5041625663295046,31,1,180,COMPLETE
98,98,0.5034047552351938,26,1,246,COMPLETE
99,99,0.5672785045367907,30,13,208,COMPLETE
100,100,0.5118438558832089,20,3,260,COMPLETE
101,101,0.5024829963661477,22,1,270,COMPLETE
102,102,0.5025306372142906,22,1,262,COMPLETE
103,103,0.5028273099136836,25,1,252,COMPLETE
104,104,0.5030203364490483,24,1,274,COMPLETE
105,105,0.5118285217268084,27,3,258,COMPLETE
106,106,0.5021779198487882,29,1,268,COMPLETE
107,107,0.5040770353001728,33,1,282,COMPLETE
108,108,0.5860148425748305,30,19,266,COMPLETE
109,109,0.512911451844729,28,3,276,COMPLETE
110,110,0.5043740330301821,29,1,296,COMPLETE
111,111,0.5024332595160541,23,1,256,COMPLETE
112,112,0.5021779198487882,27,1,268,COMPLETE
113,113,0.5021779198487882,26,1,268,COMPLETE
114,114,0.5021779198487882,27,1,268,COMPLETE
115,115,0.5040503432779594,26,1,250,COMPLETE
116,116,0.5024829963661478,27,1,270,COMPLETE
117,117,0.5021779198487882,25,1,268,COMPLETE
118,118,0.5105054122802717,25,3,262,COMPLETE
119,119,0.531394059176959,27,7,280,COMPLETE
120,120,0.5442389700932391,25,9,274,COMPLETE
121,121,0.501582485749309,28,1,258,COMPLETE
122,122,0.5015824857493091,26,1,258,COMPLETE
123,123,0.5014938256498281,26,1,258,COMPLETE
124,124,0.5024332595160542,21,1,256,COMPLETE
125,125,0.501952720567399,29,1,236,COMPLETE
126,126,0.5118915191583334,31,3,246,COMPLETE
127,127,0.5028273099136835,28,1,252,COMPLETE
128,128,0.5043465434838871,29,1,240,COMPLETE
129,129,0.501952720567399,23,1,236,COMPLETE
130,130,0.5036645941680614,23,1,228,COMPLETE
131,131,0.5014938256498283,24,1,258,COMPLETE
132,132,0.5026481520850411,24,1,234,COMPLETE
133,133,0.5033112343133569,20,1,248,COMPLETE
134,134,0.502925550221212,26,1,220,COMPLETE
135,135,0.5118285217268083,23,3,258,COMPLETE
136,136,0.5006046741661067,28,1,244,COMPLETE
137,137,0.501952720567399,30,1,236,COMPLETE
138,138,0.5112226143241598,30,3,240,COMPLETE
139,139,0.5026203005768962,32,1,222,COMPLETE
140,140,0.5034047552351938,28,1,246,COMPLETE
141,141,0.5036991114710622,30,1,232,COMPLETE
142,142,0.5020990537938408,28,1,242,COMPLETE
143,143,0.5019527205673989,24,1,236,COMPLETE
144,144,0.5762817003350252,24,17,238,COMPLETE
145,145,0.5019527205673989,22,1,236,COMPLETE
146,146,0.5037779011202961,26,1,224,COMPLETE
147,147,0.5026481520850411,25,1,234,COMPLETE
148,148,0.5019527205673989,24,1,236,COMPLETE
149,149,0.5124306840888877,24,3,212,COMPLETE
150,150,0.5027815339601585,18,1,230,COMPLETE
151,151,0.5006046741661067,46,1,244,COMPLETE
152,152,0.5006046741661067,45,1,244,COMPLETE
153,153,0.5006046741661067,23,1,244,COMPLETE
154,154,0.5006046741661067,46,1,244,COMPLETE
155,155,0.5006046741661067,45,1,244,COMPLETE
156,156,0.5028273099136836,47,1,252,COMPLETE
157,157,0.5006046741661067,44,1,244,COMPLETE
158,158,0.5020990537938408,44,1,242,COMPLETE
159,159,0.5006046741661067,47,1,244,COMPLETE
160,160,0.5128182265503428,48,3,248,COMPLETE
161,161,0.5006046741661067,45,1,244,COMPLETE
162,162,0.5006046741661067,45,1,244,COMPLETE
163,163,0.5006046741661067,45,1,244,COMPLETE
164,164,0.5006046741661067,44,1,244,COMPLETE
165,165,0.5006046741661067,44,1,244,COMPLETE
166,166,0.5006046741661067,44,1,244,COMPLETE
167,167,0.5034047552351938,44,1,246,COMPLETE
168,168,0.5006046741661067,42,1,244,COMPLETE
169,169,0.5006046741661067,42,1,244,COMPLETE
170,170,0.5006046741661067,42,1,244,COMPLETE
171,171,0.5006046741661067,42,1,244,COMPLETE
172,172,0.5006046741661067,42,1,244,COMPLETE
173,173,0.5020990537938408,42,1,242,COMPLETE
174,174,0.5006046741661067,41,1,244,COMPLETE
175,175,0.5040503432779594,45,1,250,COMPLETE
176,176,0.5020990537938408,46,1,242,COMPLETE
177,177,0.5043465434838871,40,1,240,COMPLETE
178,178,0.5036645941680614,43,1,228,COMPLETE
179,179,0.503311234313357,41,1,248,COMPLETE
180,180,0.5006046741661067,49,1,244,COMPLETE
181,181,0.5006046741661067,49,1,244,COMPLETE
182,182,0.5043465434838871,42,1,240,COMPLETE
183,183,0.5040503432779594,43,1,250,COMPLETE
184,184,0.5034047552351939,46,1,246,COMPLETE
185,185,0.5006046741661067,46,1,244,COMPLETE
186,186,0.5028273099136835,45,1,252,COMPLETE
187,187,0.5036991114710622,43,1,232,COMPLETE
188,188,0.5043465434838871,49,1,240,COMPLETE
189,189,0.5128182265503429,45,3,248,COMPLETE
190,190,0.5043465434838871,40,1,240,COMPLETE
191,191,0.5555807562588186,47,11,246,COMPLETE
192,192,0.5006046741661067,50,1,244,COMPLETE
193,193,0.5028273099136835,50,1,252,COMPLETE
194,194,0.5006046741661067,48,1,244,COMPLETE
195,195,0.5040499777161132,47,1,238,COMPLETE
196,196,0.5040503432779594,48,1,250,COMPLETE
197,197,0.5020990537938408,44,1,242,COMPLETE
198,198,0.5036991114710622,45,1,232,COMPLETE
199,199,0.5040499777161132,42,1,238,COMPLETE
200,200,0.5034047552351938,50,1,246,COMPLETE
201,201,0.5006046741661067,49,1,244,COMPLETE
202,202,0.5006046741661067,41,1,244,COMPLETE
203,203,0.5028273099136835,46,1,252,COMPLETE
204,204,0.5670088984014217,44,15,248,COMPLETE
205,205,0.5040499777161132,46,1,238,COMPLETE
206,206,0.5020990537938408,43,1,242,COMPLETE
207,207,0.5026220231124772,40,1,254,COMPLETE
208,208,0.502648152085041,44,1,234,COMPLETE
